"Type","Compression Level 1","Compression Level 2","Compression Level 3","Compression Level 4","Compression Level 5","Compression Level 6"
"LIST","20.24141418408549","17.67794250781092","15.80177670134246","14.166086271765364","13.25112329797818","6.870878025315358"
"THREAD","23.647116073611258","20.728204328747935","18.40804473383871","16.900512740544208","15.97265308162144","8.92858618157012"
